import time: self [us] | cumulative | imported package
import time:      1203 |       1203 |           numpy._core._add_newdocs_scalars
import time:       602 |        602 |           numpy._core._dtype_ctypes
import time:      4514 |       4514 |           numpy._core._internal
import time:       543 |        543 |           numpy._pytesttester
import time:       843 |      75502 |         numpy._core
import time:        19 |      75521 |       numpy._core._multiarray_umath
import time:       606 |      76127 |     numpy.__config__
import time:       272 |        272 |         numpy.lib._array_utils_impl
import time:       284 |        556 |       numpy.lib.array_utils
import time:       325 |        325 |       numpy.lib.introspect
import time:       550 |        550 |       numpy.lib.mixins
import time:       972 |        972 |               platform
import time:      1530 |       2501 |             numpy.lib._utils_impl
import time:      1659 |       4160 |           numpy.lib.format
import time:      1009 |       1009 |           numpy.lib._datasource
import time:      2009 |       2009 |           numpy.lib._iotools
import time:      4900 |      12076 |         numpy.lib._npyio_impl
import time:       100 |      12176 |       numpy.lib.npyio
import time:       305 |        305 |             numpy.lib._ufunclike_impl
import time:       854 |       1159 |           numpy.lib._type_check_impl
import time:       516 |       1674 |         numpy.lib._scimath_impl
import time:       111 |       1784 |       numpy.lib.scimath
import time:       786 |        786 |         numpy.lib._stride_tricks_impl
import time:       113 |        899 |       numpy.lib.stride_tricks
import time:       164 |        164 |               numpy.linalg.linalg
import time:      1183 |       1183 |                 numpy.lib._twodim_base_impl
import time:       180 |        180 |                 numpy.linalg._umath_linalg
import time:       326 |        326 |                   numpy._typing._nested_sequence
import time:       372 |        372 |                   numpy._typing._nbit_base
import time:       139 |        139 |                   numpy._typing._nbit
import time:      1706 |       1706 |                   numpy._typing._char_codes
import time:       168 |        168 |                   numpy._typing._scalars
import time:       107 |        107 |                   numpy._typing._shape
import time:      2195 |       2195 |                   numpy._typing._dtype_like
import time:      1800 |       1800 |                   numpy._typing._array_like
import time:       108 |        108 |                   numpy._typing._ufunc
import time:       371 |       7287 |                 numpy._typing
import time:      4871 |      13519 |               numpy.linalg._linalg
import time:       178 |      13860 |             numpy.linalg
import time:      1471 |      15330 |           numpy.matrixlib.defmatrix
import time:       135 |      15464 |         numpy.matrixlib
import time:      1694 |       1694 |           numpy.lib._histograms_impl
import time:      9376 |      11069 |         numpy.lib._function_base_impl
import time:      1568 |      28100 |       numpy.lib._index_tricks_impl
import time:      2491 |       2491 |       numpy.lib._nanfunctions_impl
import time:      1648 |       1648 |       numpy.lib._shape_base_impl
import time:      2410 |       2410 |       numpy.lib._arraysetops_impl
import time:      2331 |       2331 |       numpy.lib._polynomial_impl
import time:       577 |        577 |       numpy.lib._arrayterator_impl
import time:      1448 |       1448 |       numpy.lib._arraypad_impl
import time:       456 |        456 |       numpy.lib._version
import time:       692 |      56435 |     numpy.lib
import time:       459 |        459 |     numpy._array_api_info
import time:      2403 |     136700 |   numpy
import time:      2165 |       2165 |   polars_fastembed._polars_fastembed
import time:       250 |        250 |   polars_fastembed.utils
import time:       731 |     139844 | polars_fastembed
